Site,Weather,Smoothing,Scaler_win,t_0,Scaler_rto
Playa,site,TRUE,90,1/28/2017,0.000703258
Playa,site,TRUE,90,2/4/2017,0.000701815
Playa,site,TRUE,90,2/11/2017,0.000697883
Playa,site,TRUE,90,2/18/2017,0.000693249
Playa,site,TRUE,90,2/25/2017,0.000689839
Playa,site,TRUE,90,3/4/2017,0.000687956
Playa,site,TRUE,90,3/11/2017,0.000684899
Playa,site,TRUE,90,3/18/2017,0.00067922
Playa,site,TRUE,90,3/25/2017,0.00066909
Playa,site,TRUE,90,4/1/2017,0.000660796
Playa,site,TRUE,90,4/8/2017,0.000654466
Playa,site,TRUE,90,4/15/2017,0.000652432
Playa,site,TRUE,90,4/22/2017,0.000653579
Playa,site,TRUE,90,4/29/2017,0.000655124
Playa,site,TRUE,90,5/6/2017,0.000654926
Playa,site,TRUE,90,5/13/2017,0.000653734
Playa,site,TRUE,90,5/20/2017,0.000654087
Playa,site,TRUE,90,5/27/2017,0.000658325
Playa,site,TRUE,90,6/3/2017,0.000659364
Playa,site,TRUE,90,6/10/2017,0.000662591
Playa,site,TRUE,90,6/17/2017,0.000668259
Playa,site,TRUE,90,6/24/2017,0.000677102
Playa,site,TRUE,90,7/1/2017,0.000679771
Playa,site,TRUE,90,7/8/2017,0.000675432
Playa,site,TRUE,90,7/15/2017,0.000669269
Playa,site,TRUE,90,7/22/2017,0.000665876
Playa,site,TRUE,90,7/29/2017,0.000664251
Playa,site,TRUE,90,8/5/2017,0.000662758
Playa,site,TRUE,90,8/12/2017,0.000661777
Playa,site,TRUE,90,8/19/2017,0.00066402
Playa,site,TRUE,90,8/26/2017,0.000664775
Playa,site,TRUE,90,9/2/2017,0.000665032
Playa,site,TRUE,90,9/9/2017,0.000662152
Playa,site,TRUE,90,9/16/2017,0.000661538
Playa,site,TRUE,90,9/23/2017,0.000663776
Playa,site,TRUE,90,9/30/2017,0.000668334
Playa,site,TRUE,90,10/7/2017,0.00067286
Playa,site,TRUE,90,10/14/2017,0.000674456
Playa,site,TRUE,90,10/21/2017,0.000673731
Playa,site,TRUE,90,10/28/2017,0.000677409
Playa,site,TRUE,90,11/4/2017,0.000681246
Playa,site,TRUE,90,11/11/2017,0.000685463
Playa,site,TRUE,90,11/18/2017,0.000685174
Playa,site,TRUE,90,11/25/2017,0.000685575
Playa,site,TRUE,90,12/2/2017,0.000687155
Playa,site,TRUE,90,12/9/2017,0.000690289
Playa,site,TRUE,90,12/16/2017,0.000695835
Playa,site,TRUE,90,12/23/2017,0.000702252
Playa,site,TRUE,90,12/30/2017,0.000707221
Playa,site,TRUE,90,1/6/2018,0.00070955
Playa,site,TRUE,90,1/13/2018,0.000709439
Playa,site,TRUE,90,1/20/2018,0.000709712
Playa,site,TRUE,90,1/27/2018,0.000710657
Playa,site,TRUE,90,2/3/2018,0.00071448
Playa,site,TRUE,90,2/10/2018,0.000716543
