Site,Weather,Scaler_win,Forecast_win,Trap_smoothing_flag,RMSE_mu,RMSE_sig
Villodas,site,13,80,FALSE,1.345180503,0.456172925
Villodas,site,13,150,FALSE,1.31874498,0.469959259
Villodas,site,17,3,FALSE,0.743917256,0.669623761
Villodas,site,17,4,FALSE,0.776220927,0.655639252
Villodas,site,17,8,FALSE,0.861809294,0.642029028
Villodas,site,17,17,FALSE,0.988965566,0.611105769
Villodas,site,17,21,FALSE,1.026488143,0.58685537
Villodas,site,17,30,FALSE,1.087363544,0.52054386
Villodas,site,17,34,FALSE,1.108017923,0.49513868
Villodas,site,17,52,FALSE,1.223508891,0.463515126
Villodas,site,17,80,FALSE,1.34163422,0.410411178
Villodas,site,17,150,FALSE,1.308080439,0.433400603
Villodas,site,21,3,FALSE,0.768446795,0.683546147
Villodas,site,21,4,FALSE,0.801042474,0.663756887
Villodas,site,21,8,FALSE,0.878683917,0.638318031
Villodas,site,21,17,FALSE,0.996684631,0.595860919
Villodas,site,21,21,FALSE,1.030182374,0.567141349
Villodas,site,21,30,FALSE,1.086664568,0.497055813
Villodas,site,21,34,FALSE,1.108919249,0.473350838
Villodas,site,21,52,FALSE,1.228167707,0.441634541
Villodas,site,21,80,FALSE,1.34064808,0.35175735
Villodas,site,21,150,FALSE,1.300999226,0.38889511
Villodas,site,26,3,FALSE,0.78592921,0.677534794
Villodas,site,26,4,FALSE,0.816597577,0.659348828
Villodas,site,26,8,FALSE,0.89174269,0.632255239
Villodas,site,26,17,FALSE,0.998579097,0.573771487
Villodas,site,26,21,FALSE,1.028954142,0.541143129
Villodas,site,26,30,FALSE,1.085740861,0.47347086
Villodas,site,26,34,FALSE,1.110011992,0.455520067
Villodas,site,26,52,FALSE,1.23193,0.410266303
Villodas,site,26,80,FALSE,1.337553241,0.269521423
Villodas,site,26,150,FALSE,1.290093367,0.325132839
Arboleda,site,4,3,TRUE,2.363583653,1.565415403
Arboleda,site,4,4,TRUE,2.524343315,1.545271738
Arboleda,site,4,8,TRUE,2.904334804,1.533894888
Arboleda,site,4,17,TRUE,3.478076764,1.603590289
Arboleda,site,4,21,TRUE,3.698261049,1.649257246
Arboleda,site,4,30,TRUE,4.175098638,2.052770661
Arboleda,site,4,34,TRUE,4.303164944,2.223726869
Arboleda,site,4,52,TRUE,4.469312821,2.45219325
Arboleda,site,4,80,TRUE,4.279385647,1.760057289
Arboleda,site,4,150,TRUE,4.627005729,2.252368814
Arboleda,site,8,3,TRUE,2.419420298,1.57032019
Arboleda,site,8,4,TRUE,2.563979321,1.534515183
Arboleda,site,8,8,TRUE,2.952475651,1.549005414
Arboleda,site,8,17,TRUE,3.495082426,1.450636934
Arboleda,site,8,21,TRUE,3.727618059,1.509716116
Arboleda,site,8,30,TRUE,4.130657783,1.878599527
Arboleda,site,8,34,TRUE,4.221092175,1.997934484
Arboleda,site,8,52,TRUE,4.326662814,2.038098057
Arboleda,site,8,80,TRUE,4.131575533,1.416056008
Arboleda,site,8,150,TRUE,4.464278756,1.830718452
Arboleda,site,13,3,TRUE,2.61606353,1.705122347
Arboleda,site,13,4,TRUE,2.733780768,1.656351355
Arboleda,site,13,8,TRUE,3.050225006,1.542769044
Arboleda,site,13,17,TRUE,3.587087585,1.48472407
Arboleda,site,13,21,TRUE,3.796380609,1.568658317
Arboleda,site,13,30,TRUE,4.098035801,1.860835607
Arboleda,site,13,34,TRUE,4.16373971,1.945480505
Arboleda,site,13,52,TRUE,4.223477342,1.810149232
Arboleda,site,13,80,TRUE,4.022407545,1.247968746
Arboleda,site,13,150,TRUE,4.359748674,1.586521465
Arboleda,site,17,3,TRUE,2.656668397,1.725292848
Arboleda,site,17,4,TRUE,2.772269444,1.661127647
Arboleda,site,17,8,TRUE,3.095153322,1.541920444
Arboleda,site,17,17,TRUE,3.628948814,1.55203936
Arboleda,site,17,21,TRUE,3.803033914,1.62778022
Arboleda,site,17,30,TRUE,4.050388161,1.847969213
Arboleda,site,17,34,TRUE,4.097452546,1.897440149
Arboleda,site,17,52,TRUE,4.145793679,1.630666137
Arboleda,site,17,80,TRUE,3.95775645,1.152969584
Arboleda,site,17,150,TRUE,4.306729632,1.448564743
Arboleda,site,21,3,TRUE,2.717170054,1.782973987
Arboleda,site,21,4,TRUE,2.832950008,1.726718173
Arboleda,site,21,8,TRUE,3.174279053,1.621873555
Arboleda,site,21,17,TRUE,3.644025532,1.667787179
Arboleda,site,21,21,TRUE,3.789382303,1.731914865
Arboleda,site,21,30,TRUE,3.990771275,1.875015926
Arboleda,site,21,34,TRUE,4.030464605,1.860334484
Arboleda,site,21,52,TRUE,4.077450622,1.508447976
Arboleda,site,21,80,TRUE,3.912881137,1.136285302
Arboleda,site,21,150,TRUE,4.275796035,1.397666554
Arboleda,site,26,3,TRUE,2.826451328,1.883999804
Arboleda,site,26,4,TRUE,2.93562651,1.838972951
Arboleda,site,26,8,TRUE,3.23413361,1.743016722
Arboleda,site,26,17,TRUE,3.611765483,1.78345262
Arboleda,site,26,21,TRUE,3.732954483,1.821768402
Arboleda,site,26,30,TRUE,3.896363589,1.823441828
Arboleda,site,26,34,TRUE,3.939322499,1.732738574
Arboleda,site,26,52,TRUE,3.968538221,1.342078123
Arboleda,site,26,80,TRUE,3.866991216,1.102250943
Arboleda,site,26,150,TRUE,4.249704227,1.342049812
Playa,site,4,3,TRUE,4.143932143,2.763953231
Playa,site,4,4,TRUE,4.328858144,2.728225575
Playa,site,4,8,TRUE,4.724344584,2.940195295
Playa,site,4,17,TRUE,5.515519646,3.298203671
Playa,site,4,21,TRUE,5.775750989,3.250859221
Playa,site,4,30,TRUE,6.164759937,3.132740229
Playa,site,4,34,TRUE,6.305458359,3.121314198
Playa,site,4,52,TRUE,6.697125274,3.096486995
Playa,site,4,80,TRUE,6.830134421,2.889618446
Playa,site,4,150,TRUE,6.79593197,2.86467971
Playa,site,8,3,TRUE,3.931652644,2.868293912
Playa,site,8,4,TRUE,4.107638497,2.890176739
Playa,site,8,8,TRUE,4.629264825,3.083205395
Playa,site,8,17,TRUE,5.321406843,3.152728669
Playa,site,8,21,TRUE,5.545511945,3.05586734
Playa,site,8,30,TRUE,5.931610076,2.889841847
Playa,site,8,34,TRUE,6.054531783,2.872368253
Playa,site,8,52,TRUE,6.435365152,2.721032502
Playa,site,8,80,TRUE,6.539246597,2.495019426
Playa,site,8,150,TRUE,6.447841426,2.655827313
Playa,site,13,3,TRUE,4.071236922,3.182242844
Playa,site,13,4,TRUE,4.216892269,3.141979895
Playa,site,13,8,TRUE,4.657321502,3.057975201
Playa,site,13,17,TRUE,5.304009554,2.865598003
Playa,site,13,21,TRUE,5.517188079,2.754436264
Playa,site,13,30,TRUE,5.874887459,2.600090586
Playa,site,13,34,TRUE,5.988441648,2.574534232
Playa,site,13,52,TRUE,6.341233936,2.279125999
Playa,site,13,80,TRUE,6.376300303,2.025033459
Playa,site,13,150,TRUE,6.250133143,2.126815282
Playa,site,17,3,TRUE,4.052976787,3.114438394
Playa,site,17,4,TRUE,4.221801038,3.045986753
Playa,site,17,8,TRUE,4.689780208,2.837686911
Playa,site,17,17,TRUE,5.290447033,2.611207857
Playa,site,17,21,TRUE,5.486966656,2.541738022
Playa,site,17,30,TRUE,5.826969112,2.361891025
Playa,site,17,34,TRUE,5.935244379,2.3132195
Playa,site,17,52,TRUE,6.285321073,1.905473049
Playa,site,17,80,TRUE,6.29176885,1.680928422
Playa,site,17,150,TRUE,6.137014244,1.719211442
Playa,site,21,3,TRUE,4.17550115,2.998829672
Playa,site,21,4,TRUE,4.323274605,2.896678625
Playa,site,21,8,TRUE,4.733922548,2.675265132
Playa,site,21,17,TRUE,5.296724793,2.505663229
Playa,site,21,21,TRUE,5.48238152,2.417242707
Playa,site,21,30,TRUE,5.801567957,2.218942004
Playa,site,21,34,TRUE,5.904344558,2.138646974
Playa,site,21,52,TRUE,6.253609768,1.659787915
Playa,site,21,80,TRUE,6.251746827,1.486902564
Playa,site,21,150,TRUE,6.075739593,1.415120156
Playa,site,26,3,TRUE,4.182023616,2.973200291
Playa,site,26,4,TRUE,4.33285544,2.879043105
Playa,site,26,8,TRUE,4.754332975,2.648569151
Playa,site,26,17,TRUE,5.296761021,2.435717658
Playa,site,26,21,TRUE,5.465100862,2.336096904
Playa,site,26,30,TRUE,5.767811153,2.072837482
Playa,site,26,34,TRUE,5.863673942,1.957969826
Playa,site,26,52,TRUE,6.19420668,1.465365717
Playa,site,26,80,TRUE,6.195879611,1.370828911
Playa,site,26,150,TRUE,6.014816159,1.20577605
La_Margarita,site,4,3,TRUE,0.466621576,0.443561363
La_Margarita,site,4,4,TRUE,0.494527851,0.45274179
La_Margarita,site,4,8,TRUE,0.570583341,0.467548485
La_Margarita,site,4,17,TRUE,0.717269902,0.477159283
La_Margarita,site,4,21,TRUE,0.762192152,0.486184135
La_Margarita,site,4,30,TRUE,0.849497494,0.555734877
La_Margarita,site,4,34,TRUE,0.883748934,0.583711422
La_Margarita,site,4,52,TRUE,0.91503067,0.586228066
La_Margarita,site,4,80,TRUE,0.840442836,0.388145035
La_Margarita,site,4,150,TRUE,0.823981669,0.246808908
La_Margarita,site,8,3,TRUE,0.460353536,0.469266487
La_Margarita,site,8,4,TRUE,0.487750388,0.472638216
La_Margarita,site,8,8,TRUE,0.574583354,0.485787616
La_Margarita,site,8,17,TRUE,0.708332328,0.491931087
La_Margarita,site,8,21,TRUE,0.749571366,0.508479235
La_Margarita,site,8,30,TRUE,0.840075118,0.569932251
La_Margarita,site,8,34,TRUE,0.866566438,0.587388643
La_Margarita,site,8,52,TRUE,0.887984612,0.560516821
La_Margarita,site,8,80,TRUE,0.799361857,0.326918408
La_Margarita,site,8,150,TRUE,0.786751354,0.182158328
La_Margarita,site,13,3,TRUE,0.495172457,0.496170943
La_Margarita,site,13,4,TRUE,0.517842064,0.499185712
La_Margarita,site,13,8,TRUE,0.591014856,0.502977108
La_Margarita,site,13,17,TRUE,0.71299161,0.518478219
La_Margarita,site,13,21,TRUE,0.756391297,0.544971279
La_Margarita,site,13,30,TRUE,0.836055834,0.597809465
La_Margarita,site,13,34,TRUE,0.855847278,0.604349339
La_Margarita,site,13,52,TRUE,0.869316045,0.553500924
La_Margarita,site,13,80,TRUE,0.774201252,0.314818123
La_Margarita,site,13,150,TRUE,0.765574221,0.160097273
La_Margarita,site,17,3,TRUE,0.506573721,0.510921676
La_Margarita,site,17,4,TRUE,0.530835849,0.508882812
La_Margarita,site,17,8,TRUE,0.600925893,0.509730018
La_Margarita,site,17,17,TRUE,0.721429815,0.547366684
La_Margarita,site,17,21,TRUE,0.763431419,0.5759609
La_Margarita,site,17,30,TRUE,0.832441611,0.608358041
La_Margarita,site,17,34,TRUE,0.846127847,0.60531486
La_Margarita,site,17,52,TRUE,0.857287776,0.541862767
La_Margarita,site,17,80,TRUE,0.761593746,0.312717262
La_Margarita,site,17,150,TRUE,0.758591255,0.149491389
La_Margarita,site,21,3,TRUE,0.525724284,0.518660779
La_Margarita,site,21,4,TRUE,0.546401577,0.518272779
La_Margarita,site,21,8,TRUE,0.61099235,0.528634615
La_Margarita,site,21,17,TRUE,0.732321585,0.580955815
La_Margarita,site,21,21,TRUE,0.770132048,0.601734937
La_Margarita,site,21,30,TRUE,0.826793319,0.608438856
La_Margarita,site,21,34,TRUE,0.837142903,0.598272676
La_Margarita,site,21,52,TRUE,0.848906997,0.525056999
La_Margarita,site,21,80,TRUE,0.755112126,0.312642157
La_Margarita,site,21,150,TRUE,0.757844453,0.139691029
La_Margarita,site,26,3,TRUE,0.54338829,0.54664013
La_Margarita,site,26,4,TRUE,0.564984826,0.54806308
La_Margarita,site,26,8,TRUE,0.633752398,0.567702255
La_Margarita,site,26,17,TRUE,0.744365246,0.608675726
La_Margarita,site,26,21,TRUE,0.775743578,0.613713325
La_Margarita,site,26,30,TRUE,0.817640394,0.592351292
La_Margarita,site,26,34,TRUE,0.826501264,0.577005686
La_Margarita,site,26,52,TRUE,0.837476981,0.494933996
La_Margarita,site,26,80,TRUE,0.752923076,0.312977756
La_Margarita,site,26,150,TRUE,0.762071025,0.130136191
Villodas,site,4,3,TRUE,0.52344214,0.43062988
Villodas,site,4,4,TRUE,0.557802488,0.436145185
Villodas,site,4,8,TRUE,0.653154075,0.471796536
Villodas,site,4,17,TRUE,0.812264756,0.552851111
Villodas,site,4,21,TRUE,0.862817949,0.569873961
Villodas,site,4,30,TRUE,0.948654276,0.545961567
Villodas,site,4,34,TRUE,0.974924856,0.529259861
Villodas,site,4,52,TRUE,1.066235379,0.515516292
Villodas,site,4,80,TRUE,1.179782875,0.535165367
Villodas,site,4,150,TRUE,1.189462583,0.529645268
Villodas,site,8,3,TRUE,0.539453124,0.468971196
Villodas,site,8,4,TRUE,0.571966511,0.473958744
Villodas,site,8,8,TRUE,0.670316934,0.506671625
Villodas,site,8,17,TRUE,0.815230992,0.559245462
Villodas,site,8,21,TRUE,0.864239458,0.55280743
Villodas,site,8,30,TRUE,0.944527142,0.509746635
Villodas,site,8,34,TRUE,0.965927884,0.490005671
Villodas,site,8,52,TRUE,1.06010787,0.477338259
Villodas,site,8,80,TRUE,1.166474972,0.493908278
Villodas,site,8,150,TRUE,1.163679889,0.490706918
Villodas,site,13,3,TRUE,0.5813646,0.5273164
Villodas,site,13,4,TRUE,0.610198795,0.527861256
Villodas,site,13,8,TRUE,0.690837753,0.547204675
Villodas,site,13,17,TRUE,0.834870261,0.556922868
Villodas,site,13,21,TRUE,0.881970599,0.537736831
Villodas,site,13,30,TRUE,0.947125049,0.482097639
Villodas,site,13,34,TRUE,0.964642208,0.461526568
Villodas,site,13,52,TRUE,1.064019353,0.45194253
Villodas,site,13,80,TRUE,1.162066374,0.45854175
Villodas,site,13,150,TRUE,1.150778419,0.46183799
Villodas,site,17,3,TRUE,0.589390678,0.55635837
Villodas,site,17,4,TRUE,0.618324266,0.554434498
Villodas,site,17,8,TRUE,0.706464383,0.561614942
Villodas,site,17,17,TRUE,0.845997418,0.547397806
Villodas,site,17,21,TRUE,0.885645511,0.523462226
Villodas,site,17,30,TRUE,0.941578495,0.461307376
Villodas,site,17,34,TRUE,0.95841606,0.440464603
Villodas,site,17,52,TRUE,1.062777006,0.435462502
Villodas,site,17,80,TRUE,1.157167951,0.416432124
Villodas,site,17,150,TRUE,1.139177333,0.427342914
Villodas,site,21,3,TRUE,0.619317152,0.567106851
Villodas,site,21,4,TRUE,0.648450518,0.560446661
Villodas,site,21,8,TRUE,0.731144555,0.554954289
Villodas,site,21,17,TRUE,0.855059583,0.52943188
Villodas,site,21,21,TRUE,0.887435283,0.502770095
Villodas,site,21,30,TRUE,0.937305696,0.438307253
Villodas,site,21,34,TRUE,0.956161171,0.41918514
Villodas,site,21,52,TRUE,1.064877361,0.413112027
Villodas,site,21,80,TRUE,1.154369346,0.362985336
Villodas,site,21,150,TRUE,1.130362276,0.384050301
Villodas,site,26,3,TRUE,0.651176512,0.560701981
Villodas,site,26,4,TRUE,0.676523443,0.555559111
Villodas,site,26,8,TRUE,0.751485423,0.546759206
Villodas,site,26,17,TRUE,0.856325823,0.501564356
Villodas,site,26,21,TRUE,0.883608304,0.471670382
Villodas,site,26,30,TRUE,0.933542084,0.410145013
Villodas,site,26,34,TRUE,0.954826156,0.396905371
Villodas,site,26,52,TRUE,1.066012116,0.378458883
Villodas,site,26,80,TRUE,1.151501126,0.284315271
Villodas,site,26,150,TRUE,1.118779457,0.31909481
Arboleda,airport,4,3,FALSE,3.780334146,2.313204278
Arboleda,airport,4,4,FALSE,3.970817632,2.281629186
Arboleda,airport,4,8,FALSE,4.451451959,2.490874732
Arboleda,airport,4,17,FALSE,5.139919477,2.951155719
