Source,Scaler_win,Forecast_win,Dist,t_0,Total_RMSE,amt1_RMSE,amt5_RMSE,amt9_RMSE,amt13_RMSE,amt17_RMSE,amt21_RMSE,amt25_RMSE,amt29_RMSE,amt33_RMSE,amt37_RMSE,amt41_RMSE,amt45_RMSE,amt49_RMSE
Ceiba,13,52,poisson,6/23/2018,1.741014366,1.274166215,2.408807248,3.453771484,0.910000255,1.734558339,2.497568275,2.682416923,0.703346094,0.632549463,0.659804327,0.984500454,0.409897013,0.55937463
Ceiba,13,52,poisson,6/30/2018,2.045420486,0.855123589,3.881311913,2.968556318,1.81240288,2.391715327,3.412565547,2.405851073,0.818367608,0.402561346,0.481065479,0.718499345,0.223521108,1.308549521
Ceiba,13,52,poisson,7/7/2018,2.28388203,1.631197336,4.74682422,2.134255154,2.378256851,2.95328662,3.687238699,2.015513048,1.072207053,0.306078564,0.524013191,0.456547913,0.602404681,1.983954084
Ceiba,13,52,poisson,7/14/2018,2.460769659,2.621553633,4.779731125,1.682932268,2.686796701,3.373576264,3.594667668,1.560336579,1.028817658,0.457256142,0.561932515,0.174254459,0.658954464,3.188309751
Ceiba,13,52,poisson,7/21/2018,2.555823728,3.296433361,4.406262216,1.809617956,2.805501724,3.427626856,3.416448719,1.196518875,1.006709847,0.392751627,0.550644354,0.125390237,0.944171519,4.032537898
Ceiba,13,52,poisson,7/28/2018,2.601343089,4.190773937,3.240380025,2.167688807,2.729325408,3.697023207,2.63138951,0.986678839,0.54325075,0.365496435,0.59587542,0.238428057,1.449801038,4.822012174
Ceiba,13,52,poisson,8/4/2018,2.507245368,4.46230847,1.874104941,2.067431618,2.666027449,3.447327685,1.839863212,0.912961874,0.202765626,0.648487335,0.528017382,0.541114722,1.851785841,5.133240408
Ceiba,13,52,poisson,8/11/2018,2.361571273,4.021376165,0.969055895,1.866519409,2.645688201,3.000156845,1.132052881,0.705099409,0.538574725,0.870872362,0.302339012,0.452505632,2.823068645,4.981278035
Ceiba,13,52,poisson,8/18/2018,2.231412291,3.397575308,0.872536623,1.66927006,2.441007698,2.637960279,0.680405706,0.621763784,0.691588323,1.013675671,0.430222051,0.539418103,3.495936078,4.654884533
Ceiba,13,52,poisson,8/25/2018,2.018810794,2.258293998,0.755343589,1.338620791,2.52809376,1.705414124,0.468506472,0.521129147,1.031416268,1.147432004,0.4418231,0.907030543,4.131006527,3.907186191
Ceiba,13,52,poisson,9/1/2018,1.827803865,1.146507579,0.614344966,1.219115633,2.221449772,1.040274033,0.364677554,0.905637881,1.45862228,1.040838472,0.545595921,1.235740499,4.33879506,3.069552693
Ceiba,13,52,poisson,9/8/2018,1.810441427,1.139487073,0.389115032,1.304840876,1.891231804,0.645466398,0.741433948,1.308926631,1.618844081,0.79519418,0.548620317,2.168718314,4.191777154,2.715311809
Ceiba,13,52,poisson,9/15/2018,1.810630395,1.153716149,0.415519389,1.359129079,1.793557548,0.650359865,0.814774842,1.374485971,1.597263243,0.830801425,0.410992323,2.914505618,3.982968669,2.303553346
Ceiba,13,52,poisson,9/22/2018,1.806553047,0.476643823,0.611694726,1.911593294,1.220118522,0.602709498,0.914590311,1.463712859,1.469433209,0.672947975,0.704383454,3.761636624,3.466922771,2.015713488
Ceiba,13,52,poisson,9/29/2018,1.768223731,0.526295371,0.803826853,1.837375063,0.875888629,0.488990041,1.201316803,1.736039404,1.223987058,0.655338747,1.082083966,4.084142156,2.775909109,1.843700386
Ceiba,13,52,poisson,10/6/2018,1.726154898,0.294438902,0.998055049,1.622879212,0.686387238,0.889620989,1.525946575,1.815212213,0.924346461,0.658595979,2.017741465,3.994845622,2.469417434,0.846211259
Ceiba,13,52,poisson,10/13/2018,1.711172606,0.117256747,0.970269504,1.492305695,0.827814637,1.013536587,1.641412466,1.819170546,0.981118251,0.519016696,2.704398266,3.734924989,1.993475612,0.835345886
Ceiba,13,52,poisson,10/20/2018,1.714254486,0.263589224,1.418074181,0.840321549,0.882282244,1.271654577,1.830510515,1.742184292,0.875072669,0.647362071,3.456442104,3.102334902,1.576799623,1.179844431
Ceiba,13,52,poisson,10/27/2018,1.715658501,0.512339618,1.426349765,0.811563258,0.736636901,1.529882033,2.04503741,1.429672547,0.805128877,0.959833477,3.803444209,2.459957447,1.473718784,1.393355599
Ceiba,13,52,poisson,11/3/2018,1.717988936,0.775010501,1.408202259,0.772436369,1.028597665,1.706128208,1.977564403,1.030829107,0.758391458,1.899368916,3.833378236,2.270185482,0.678931771,1.324571513
Ceiba,13,52,poisson,11/10/2018,1.730308814,0.910148712,1.445524179,0.860687464,1.047854166,1.68410408,1.854582434,1.005043245,0.540936099,2.671375197,3.695586063,1.945157431,0.846826702,1.136722738
Ceiba,13,52,poisson,11/17/2018,1.741400275,1.51935389,0.916783133,0.817777953,1.195601698,1.753050798,1.684575104,0.832170664,0.648499506,3.520412397,3.178816919,1.666149839,1.090105678,0.829708426
Ceiba,13,52,poisson,11/24/2018,1.761728861,1.707307641,0.840489996,0.559290648,1.303627194,1.832166378,1.287819909,0.699608707,1.037742025,3.996551609,2.67631954,1.723196575,1.054316925,0.957393633
Ceiba,13,52,poisson,12/1/2018,1.794063389,1.704064682,0.665614524,0.841449113,1.459419701,1.755136582,0.884879169,0.6234235,2.063061465,4.054881026,2.54407932,0.922260886,1.023715078,1.528545291
Ceiba,13,52,poisson,12/8/2018,1.794486707,1.651343585,0.725943004,0.903488857,1.498938747,1.700853183,0.901062697,0.453967624,2.815749451,3.866833609,2.157334788,0.838323985,1.048899294,1.515425747
Ceiba,13,52,poisson,12/15/2018,1.725474734,0.902362873,0.829622445,1.209730653,1.767460318,1.695291231,0.840144724,0.647828682,3.508493849,3.164569765,1.649369948,1.106212381,0.824261592,1.29128646
Ceiba,13,52,poisson,12/22/2018,1.702311644,0.817456973,0.796696079,1.60166537,2.112654517,1.474850118,0.840306693,0.941712843,3.742312757,2.392531311,1.4008665,1.50353,0.598186454,1.123634266
Ceiba,13,52,poisson,12/29/2018,1.72181008,0.908298429,1.196475365,1.910425585,2.161232038,1.151022235,0.877079743,1.77344313,3.651847807,2.049631172,0.60002751,1.60345768,1.024400684,1.098304119
Ceiba,13,52,poisson,1/5/2019,1.760492218,1.160303277,1.349436335,2.039664834,2.149057843,1.20348925,0.74947551,2.402545915,3.37074015,1.5599414,1.115773742,1.448937435,0.932491188,1.598067267
Ceiba,13,52,poisson,1/12/2019,1.793640302,1.224481679,1.653467166,2.216753057,2.02960772,1.090001695,0.726788632,3.141001544,2.724740652,1.174246041,1.703388156,0.908288629,0.876106507,1.917529062
Ceiba,13,52,poisson,1/19/2019,1.789640975,0.984645115,1.818904169,2.317496146,1.611993035,0.950413928,0.908867335,3.557621594,2.192641046,1.206509905,1.841214076,0.376565834,1.070005251,2.015743835
Ceiba,13,52,poisson,1/26/2019,1.786649131,1.274676162,2.00264711,2.244049194,1.205137968,0.931973032,1.719789972,3.570326264,1.952093063,0.615534392,1.734252958,0.931785074,1.17795677,1.829622286
Ceiba,13,52,poisson,2/2/2019,1.780117224,1.332932236,2.020828573,2.133472029,1.193005599,0.73762528,2.416499115,3.387835306,1.579427279,1.095755938,1.429101469,0.950776476,1.575150974,1.541277834
Ceiba,13,52,poisson,2/9/2019,1.78653126,1.591934519,2.154715242,1.983422295,1.055394046,0.705465177,3.191270519,2.784961543,1.23254315,1.613645186,0.869485228,0.923710347,1.831415826,1.32019136
Ceiba,13,52,poisson,2/16/2019,1.774215491,1.749151425,2.251691209,1.567894212,0.914535025,0.915666323,3.616876803,2.256090321,1.263970846,1.732232489,0.440089122,1.079795405,1.919735005,0.918782036
Ceiba,13,52,poisson,2/23/2019,1.732361762,1.785793166,2.04922519,1.077755611,0.804113409,1.849163618,3.762421695,2.183484222,0.630911719,1.431137666,1.156613559,1.004576682,1.535312453,0.569493922
Ceiba,13,52,poisson,3/2/2019,1.728594168,1.655326301,1.8307136,0.988918644,0.526056231,2.693618314,3.72209498,1.977686641,0.83848017,1.118901419,1.337567545,1.154115382,1.062522681,0.521872102
Ceiba,13,52,poisson,3/9/2019,1.743019726,1.626715938,1.590632384,0.762414842,0.663237295,3.625279191,3.304122521,1.816027877,0.963139369,0.896790634,1.443682975,1.104030133,0.713511101,0.629404942
Ceiba,13,52,poisson,3/16/2019,1.825220514,1.515985881,1.078554356,0.565557128,1.201199155,4.285863381,3.008070078,2.133194101,0.611885895,1.385685063,1.579937137,0.841436172,0.246116715,0.746603908
Ceiba,13,52,poisson,3/23/2019,1.948083954,1.264715022,0.561140969,0.412738205,2.460994522,4.553989975,3.173458342,1.672800091,0.78673397,2.197606791,1.109724431,0.431987945,0.678315576,0.509520872
Ceiba,13,52,poisson,3/30/2019,2.06155062,1.093911009,0.485946816,0.488913707,3.412831329,4.559825322,3.046880249,1.573213553,1.393596963,2.398633466,0.827139429,0.401259634,0.833291582,0.380863056
Ceiba,13,52,poisson,4/6/2019,2.179907895,0.92313219,0.299096366,1.10176155,4.397527085,4.224240127,2.983780252,1.317143421,1.906507878,2.526516442,0.41613273,0.836948107,0.76146956,0.573294729
Ceiba,13,52,poisson,4/13/2019,2.331727958,0.592260289,0.50494817,1.753314185,5.016325138,3.871304023,3.255700453,1.098350258,2.488228288,2.496764998,0.385318314,1.154827104,0.803734871,0.700635738
Ceiba,13,52,poisson,4/20/2019,2.405743097,0.22497139,0.517301479,2.957865334,5.136380897,3.919938758,2.633924008,1.464854807,2.998614937,1.793194634,0.73479122,1.394300161,0.249595359,0.765771795
Ceiba,13,52,poisson,4/27/2019,2.451465623,0.214574794,0.786758802,3.836089745,5.041520448,3.679534136,2.326964278,2.009203401,3.024714506,1.314715152,0.986165222,1.33680325,0.249829787,0.798972711
Ceiba,13,52,poisson,5/4/2019,2.513055043,0.224828872,1.385444678,4.746136031,4.638253195,3.525932753,1.906013911,2.455282493,3.030868891,0.900909472,1.323631325,1.088109015,0.7315964,0.727370001
Ceiba,13,52,poisson,5/11/2019,2.622923356,0.613629241,2.00579886,5.312369126,4.227707951,3.726797333,1.624738472,2.93766787,2.902798879,0.847953567,1.574940568,0.995116163,0.952169763,0.510515605
Ceiba,13,52,poisson,5/18/2019,2.710161951,0.68578119,3.228020744,5.442642189,4.315470523,3.149387401,1.954964625,3.423557129,2.208079786,1.177280664,1.786981323,0.4385156,1.008547811,0.472243281
Ceiba,13,52,poisson,5/25/2019,2.72016263,0.986293987,4.084018087,5.321317351,4.049600558,2.785598319,2.411765921,3.390044048,1.674629367,1.377294655,1.644253606,0.424404992,0.974319494,0.469207206
Ceiba,13,52,poisson,6/1/2019,2.729531776,1.561669961,4.952154522,4.882594585,3.847896939,2.279136082,2.786373367,3.330360576,1.22755772,1.627922412,1.300186972,0.877660231,0.718881257,0.248087652
